date,season,year,month,hour,weekday,weather,temperature,feeling_temperature,humidity,windspeed,casual_user,registered_user,total_user,day_type,temp_group
2011-01-01,Spring,2011,1,0,Saturday,Clear,9.84,14.4,81.0,0.0,3,13,16,Holiday,Cold
2011-01-01,Spring,2011,1,1,Saturday,Clear,9.02,13.64,80.0,0.0,8,32,40,Holiday,Cold
2011-01-01,Spring,2011,1,2,Saturday,Clear,9.02,13.64,80.0,0.0,5,27,32,Holiday,Cold
2011-01-01,Spring,2011,1,3,Saturday,Clear,9.84,14.4,75.0,0.0,3,10,13,Holiday,Cold
2011-01-01,Spring,2011,1,4,Saturday,Clear,9.84,14.4,75.0,0.0,0,1,1,Holiday,Cold
2011-01-01,Spring,2011,1,5,Saturday,Mist,9.84,12.88,75.0,6.0,0,1,1,Holiday,Cold
2011-01-01,Spring,2011,1,6,Saturday,Clear,9.02,13.64,80.0,0.0,2,0,2,Holiday,Cold
2011-01-01,Spring,2011,1,7,Saturday,Clear,8.2,12.88,86.0,0.0,1,2,3,Holiday,Cold
2011-01-01,Spring,2011,1,8,Saturday,Clear,9.84,14.4,75.0,0.0,1,7,8,Holiday,Cold
2011-01-01,Spring,2011,1,9,Saturday,Clear,13.12,17.42,76.0,0.0,8,6,14,Holiday,Warm
2011-01-01,Spring,2011,1,10,Saturday,Clear,15.58,19.7,76.0,17.0,12,24,36,Holiday,Warm
2011-01-01,Spring,2011,1,11,Saturday,Clear,14.76,16.66,81.0,19.0,26,30,56,Holiday,Warm
2011-01-01,Spring,2011,1,12,Saturday,Clear,17.22,21.21,77.0,19.0,29,55,84,Holiday,Warm
2011-01-01,Spring,2011,1,13,Saturday,Mist,18.86,22.72,72.0,20.0,47,47,94,Holiday,Warm
2011-01-01,Spring,2011,1,14,Saturday,Mist,18.86,22.72,72.0,19.0,35,71,106,Holiday,Warm
2011-01-01,Spring,2011,1,15,Saturday,Mist,18.04,21.97,77.0,20.0,40,70,110,Holiday,Warm
2011-01-01,Spring,2011,1,16,Saturday,Mist,17.22,21.21,82.0,20.0,41,52,93,Holiday,Warm
2011-01-01,Spring,2011,1,17,Saturday,Mist,18.04,21.97,82.0,19.0,15,52,67,Holiday,Warm
2011-01-01,Spring,2011,1,18,Saturday,Light Precipitation,17.22,21.21,88.0,17.0,9,26,35,Holiday,Warm
2011-01-01,Spring,2011,1,19,Saturday,Light Precipitation,17.22,21.21,88.0,17.0,6,31,37,Holiday,Warm
2011-01-01,Spring,2011,1,20,Saturday,Mist,16.4,20.46,87.0,17.0,11,25,36,Holiday,Warm
2011-01-01,Spring,2011,1,21,Saturday,Mist,16.4,20.46,87.0,13.0,3,31,34,Holiday,Warm
2011-01-01,Spring,2011,1,22,Saturday,Mist,16.4,20.46,94.0,15.0,11,17,28,Holiday,Warm
2011-01-01,Spring,2011,1,23,Saturday,Mist,18.86,22.72,88.0,20.0,15,24,39,Holiday,Warm
2011-01-02,Spring,2011,1,0,Sunday,Mist,18.86,22.72,88.0,20.0,4,13,17,Holiday,Warm
2011-01-02,Spring,2011,1,1,Sunday,Mist,18.04,21.97,94.0,17.0,1,16,17,Holiday,Warm
2011-01-02,Spring,2011,1,2,Sunday,Mist,17.22,21.21,100.0,19.0,1,8,9,Holiday,Warm
2011-01-02,Spring,2011,1,3,Sunday,Mist,18.86,22.72,94.0,13.0,2,4,6,Holiday,Warm
2011-01-02,Spring,2011,1,4,Sunday,Mist,18.86,22.72,94.0,13.0,2,1,3,Holiday,Warm
2011-01-02,Spring,2011,1,6,Sunday,Light Precipitation,17.22,21.21,77.0,20.0,0,2,2,Holiday,Warm
2011-01-02,Spring,2011,1,7,Sunday,Mist,16.4,20.46,76.0,13.0,0,1,1,Holiday,Warm
2011-01-02,Spring,2011,1,8,Sunday,Light Precipitation,16.4,20.46,71.0,15.0,0,8,8,Holiday,Warm
2011-01-02,Spring,2011,1,9,Sunday,Mist,15.58,19.7,76.0,15.0,1,19,20,Holiday,Warm
2011-01-02,Spring,2011,1,10,Sunday,Mist,14.76,17.42,81.0,15.0,7,46,53,Holiday,Warm
2011-01-02,Spring,2011,1,11,Sunday,Mist,14.76,16.66,71.0,17.0,16,54,70,Holiday,Warm
2011-01-02,Spring,2011,1,12,Sunday,Mist,14.76,16.66,66.0,20.0,20,73,93,Holiday,Warm
2011-01-02,Spring,2011,1,13,Sunday,Mist,14.76,17.42,66.0,9.0,11,64,75,Holiday,Warm
2011-01-02,Spring,2011,1,14,Sunday,Light Precipitation,14.76,17.42,76.0,13.0,4,55,59,Holiday,Warm
2011-01-02,Spring,2011,1,15,Sunday,Light Precipitation,13.94,16.66,81.0,11.0,19,55,74,Holiday,Warm
2011-01-02,Spring,2011,1,16,Sunday,Light Precipitation,13.94,16.66,71.0,11.0,9,67,76,Holiday,Warm
2011-01-02,Spring,2011,1,17,Sunday,Clear,13.94,16.66,57.0,13.0,7,58,65,Holiday,Warm
2011-01-02,Spring,2011,1,18,Sunday,Mist,14.76,16.66,46.0,22.0,10,43,53,Holiday,Warm
2011-01-02,Spring,2011,1,19,Sunday,Clear,13.12,14.4,42.0,30.0,1,29,30,Holiday,Warm
2011-01-02,Spring,2011,1,20,Sunday,Clear,12.3,13.64,39.0,24.0,5,17,22,Holiday,Warm
2011-01-02,Spring,2011,1,21,Sunday,Clear,10.66,11.36,44.0,22.0,11,20,31,Holiday,Warm
2011-01-02,Spring,2011,1,22,Sunday,Clear,9.84,10.6,44.0,20.0,0,9,9,Holiday,Cold
2011-01-02,Spring,2011,1,23,Sunday,Clear,9.02,11.36,47.0,11.0,0,8,8,Holiday,Cold
2011-01-03,Spring,2011,1,0,Monday,Clear,9.02,9.85,44.0,24.0,0,5,5,Workday,Cold
2011-01-03,Spring,2011,1,1,Monday,Clear,8.2,8.33,44.0,28.0,0,2,2,Workday,Cold
2011-01-03,Spring,2011,1,4,Monday,Clear,6.56,6.82,47.0,26.0,0,1,1,Workday,Cold
2011-01-03,Spring,2011,1,5,Monday,Clear,6.56,6.82,47.0,19.0,0,3,3,Workday,Cold
2011-01-03,Spring,2011,1,6,Monday,Clear,5.74,5.3,50.0,26.0,0,30,30,Workday,Cold
2011-01-03,Spring,2011,1,7,Monday,Clear,5.74,6.82,50.0,13.0,1,63,64,Workday,Cold
2011-01-03,Spring,2011,1,8,Monday,Clear,5.74,6.06,50.0,19.0,1,153,154,Workday,Cold
2011-01-03,Spring,2011,1,9,Monday,Clear,6.56,6.82,43.0,26.0,7,81,88,Workday,Cold
2011-01-03,Spring,2011,1,10,Monday,Clear,7.38,8.33,43.0,17.0,11,33,44,Workday,Cold
2011-01-03,Spring,2011,1,11,Monday,Clear,8.2,9.09,40.0,22.0,10,41,51,Workday,Cold
2011-01-03,Spring,2011,1,12,Monday,Clear,9.02,10.6,35.0,20.0,13,48,61,Workday,Cold
2011-01-03,Spring,2011,1,13,Monday,Clear,9.84,10.6,35.0,19.0,8,53,61,Workday,Cold
2011-01-03,Spring,2011,1,14,Monday,Clear,10.66,12.12,30.0,19.0,11,66,77,Workday,Warm
2011-01-03,Spring,2011,1,15,Monday,Clear,10.66,12.12,30.0,17.0,14,58,72,Workday,Warm
2011-01-03,Spring,2011,1,16,Monday,Clear,10.66,12.12,30.0,17.0,9,67,76,Workday,Warm
2011-01-03,Spring,2011,1,17,Monday,Clear,9.84,11.36,30.0,15.0,11,146,157,Workday,Cold
2011-01-03,Spring,2011,1,18,Monday,Clear,9.84,12.88,32.0,7.0,9,148,157,Workday,Cold
2011-01-03,Spring,2011,1,19,Monday,Clear,8.2,12.88,47.0,0.0,8,102,110,Workday,Cold
2011-01-03,Spring,2011,1,20,Monday,Clear,8.2,11.36,47.0,7.0,3,49,52,Workday,Cold
2011-01-03,Spring,2011,1,21,Monday,Clear,7.38,9.85,64.0,9.0,3,49,52,Workday,Cold
2011-01-03,Spring,2011,1,22,Monday,Clear,5.74,7.58,69.0,9.0,0,20,20,Workday,Cold
2011-01-03,Spring,2011,1,23,Monday,Clear,7.38,10.6,55.0,7.0,1,11,12,Workday,Cold
2011-01-04,Spring,2011,1,0,Tuesday,Clear,6.56,9.09,55.0,7.0,0,5,5,Workday,Cold
2011-01-04,Spring,2011,1,1,Tuesday,Clear,6.56,9.09,59.0,7.0,0,2,2,Workday,Cold
2011-01-04,Spring,2011,1,2,Tuesday,Clear,5.74,7.58,63.0,9.0,0,1,1,Workday,Cold
2011-01-04,Spring,2011,1,4,Tuesday,Clear,5.74,9.09,63.0,6.0,0,2,2,Workday,Cold
2011-01-04,Spring,2011,1,5,Tuesday,Clear,4.92,7.58,68.0,7.0,0,4,4,Workday,Cold
2011-01-04,Spring,2011,1,6,Tuesday,Clear,4.92,7.58,74.0,7.0,0,36,36,Workday,Cold
2011-01-04,Spring,2011,1,7,Tuesday,Clear,4.92,7.58,74.0,9.0,2,92,94,Workday,Cold
2011-01-04,Spring,2011,1,8,Tuesday,Clear,5.74,7.58,69.0,11.0,2,177,179,Workday,Cold
2011-01-04,Spring,2011,1,9,Tuesday,Clear,6.56,7.58,64.0,15.0,2,98,100,Workday,Cold
2011-01-04,Spring,2011,1,10,Tuesday,Mist,6.56,6.82,69.0,22.0,5,37,42,Workday,Cold
2011-01-04,Spring,2011,1,11,Tuesday,Clear,9.02,10.6,51.0,20.0,7,50,57,Workday,Cold
2011-01-04,Spring,2011,1,12,Tuesday,Clear,9.02,11.36,51.0,11.0,12,66,78,Workday,Cold
2011-01-04,Spring,2011,1,13,Tuesday,Clear,9.84,11.36,56.0,13.0,18,79,97,Workday,Cold
2011-01-04,Spring,2011,1,14,Tuesday,Clear,10.66,12.88,52.0,15.0,9,54,63,Workday,Warm
2011-01-04,Spring,2011,1,15,Tuesday,Clear,11.48,13.64,52.0,17.0,17,48,65,Workday,Warm
2011-01-04,Spring,2011,1,16,Tuesday,Clear,12.3,14.4,49.0,17.0,15,68,83,Workday,Warm
2011-01-04,Spring,2011,1,17,Tuesday,Clear,11.48,13.64,48.0,15.0,10,202,212,Workday,Warm
2011-01-04,Spring,2011,1,18,Tuesday,Clear,10.66,12.88,48.0,13.0,3,179,182,Workday,Warm
